2016-06-02 21:55:30.7724|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
參數名稱: commitModel
   於 GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   於 GitHub.ViewModels.CommitViewModel..ctor(IRepositoryModel repository, ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   於 GitHub.Helpers.CommitCreator.<>c__DisplayClass2.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   於 System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2016-06-02 20:59:55.8253|INFO|thread: 4|AsyncReaderWriterLock|Released concurrent scheduler for operation: 353 at RepositoryViewModel.cs:318 after blocking 0.0236475s
2016-06-02 20:59:55.9725|INFO|thread:31|AsyncReaderWriterLock|Released concurrent scheduler for operation: 352 at BranchSelectionViewModel.cs:191 after blocking 0.1668305s
2016-06-02 21:00:06.8956|INFO|thread:39|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation 354 at BranchSelectionViewModel.cs:191
2016-06-02 21:00:06.8956|INFO|thread: 4|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 354 at BranchSelectionViewModel.cs:191 after waiting 2.17E-05s
2016-06-02 21:00:06.9101|INFO|thread:41|GitEnvironment|Process set up with this SSH Agent info: 2928:/tmp/ssh-rOTf9N9G4sCX/agent.4944
2016-06-02 21:00:06.9101|INFO|thread:41|GitEnvironment|PATH is C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\cmd;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\bin;C:\Users\J.H\AppData\Local\GitHub\PortableGit_d76a6a98c9315931ec4927243517bc09e9b731a0\usr\share\git-tfs;C:\Users\J.H\AppData\Local\Apps\2.0\M8CTZ5K4.QJV\CYZHLTRN.O06\gith..tion_317444273a93ac29_0003.0001_cbe40ecbe3e419d4;C:\Users\J.H\AppData\Local\GitHub\lfs-amd64_1.2.0;C:\Windows\System32;C:\Program Files (x86)\MSBuild\14.0\bin\;C:\Program Files (x86)\Microsoft SDKs\Windows\v8.1A\bin\NETFX 4.5.1 Tools\x64;C:\Program Files (x86)\Microsoft SDKs\F#\4.0\Framework\v4.0\
